Work Item Type,Title 1,Title 2,Title 3,Title 4,Area Path,Iteration Path
Deliverable,,,,Statement of Work,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Make-or-Buy Analysis,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(13) Project Stakeholder Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,13.2 Plan Stakeholder Engagement,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Stakeholder Engagement Plan,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Stakeholder Register,Add Your Area Path Here,Add Your Iteration Path Here
Process Group,Executing,,,,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(4) Project Integration Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,4.3 Direct and Manage Project Work,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Deliverables: The actual outputs or products created as a result of project activities.,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Work Performance Data,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Requests,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Issue Log,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,4.4 Manage Project Knowledge,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Lessons Learned Register,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Knowledge Management Plan,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Project Documents Updates,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Organizational Process Assets Updates,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(8) Project Quality Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,8.2 Perform Quality Assurance,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Quality Metrics: Specific standards and measures used to assess the quality of project deliverables and processes.,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Quality Audits,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Process Improvement Recommendations,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Quality Management Plan,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Quality Reports,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(9) Project Resource Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,9.3 Acquired Resources,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Resource Breakdown Structure,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,9.4 Develop Team,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Team Assignments,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,9.5 Manage Team,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Team Performance Assessments,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Issue Log Updates,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Requests,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Project Documents Updates,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Lessons Learned,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(10) Project Communication Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,10.2 Manage Communication,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Project Communications Management Plan,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Project Status Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Logs,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Stakeholder Engagement Records,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Meeting Minutes,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Lessons Learned Documentation,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Communication Tools and Templates,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Issue Logs,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(11) Project Risk Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,11.6 Implement Risk Responses,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Risk Response Implementation Plans,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Risk Register,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Issue Log Updates,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Project Management Plan Updates,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Lessons Learned,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(12) Project Procurement Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,12.2 Conduct Procurement,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Procurement Documents,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Seller Proposals,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Contract Agreements,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Bid Evaluations,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Negotiation Documentation,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Orders,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Procurement Performance Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Purchase Orders,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Contract Administration Documentation,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(13) Project Stakeholder Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,13.3 Manage Stakeholder Engagement,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Stakeholder Engagement Plan,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Stakeholder Feedback,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Engagement Records,Add Your Area Path Here,Add Your Iteration Path Here
Process Group,Monitoring and Controlling,,,,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(4) Project Integration Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,4.5 Monitor and Control Project Work,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Work Performance Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Requests,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Project Management Plan,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,4.6 Perform Integrated Change Control,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Requests,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Log,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Project Management Plan,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Baselines,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Impact Assessments,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Approval Documentation,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Communication Updates,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Lessons Learned Documentation,Add Your Area Path Here,Add Your Iteration Path Here
